ORIGIN,DESTINATION,COMMODITY, TONS ,DATA YEAR
AK,AK,2229,1629308,2015
AK,AK,4142,17235,2015
AK,AK,4349,15440,2015
AK,AK,5155,208249,2015
AK,AK,6168,231020,2015
AK,AK,7000,335254,2015
AK,AK,8099,2890261,2015
AK,CA,2100,11197726,2015
AK,CA,8099,112854,2015
AK,CN,4600,270007,2015
AK,FO,1000,148950,2015
AK,FO,2100,230319,2015
AK,FO,2229,744507,2015
AK,FO,3200,229,2015
AK,FO,4142,537820,2015
AK,FO,4600,1527569,2015
AK,FO,5155,358,2015
AK,FO,5354,660,2015
AK,FO,6168,803804,2015
AK,FO,7000,88613,2015
AK,FO,8099,49727,2015
AK,HI,8099,1797456,2015
AK,OT,8099,1404656,2015
AK,WA,2100,11020460,2015
AK,WA,2229,386259,2015
AK,WA,4142,23646,2015
AK,WA,4400,100666,2015
AK,WA,5354,11438,2015
AK,WA,6168,333966,2015
AK,WA,7000,288984,2015
AK,WA,8099,139587,2015
AL,AL,1000,6116332,2015
AL,AL,2100,837332,2015
AL,AL,2229,1154975,2015
AL,AL,3200,124355,2015
AL,AL,4142,360070,2015
AL,AL,4400,401586,2015
AL,AL,5354,4425618,2015
AL,AL,6168,182788,2015
AL,AL,8099,484418,2015
AL,AR,4400,7804,2015
AL,AR,5354,186092,2015
AL,AR,8099,3636,2015
AL,CN,2229,42139,2015
AL,FL,2229,898430,2015
AL,FL,4349,25892,2015
AL,FL,5354,14274,2015
AL,FL,8099,1230223,2015
AL,FO,1000,10525213,2015
AL,FO,2229,476856,2015
AL,FO,3100,48171,2015
AL,FO,3200,532919,2015
AL,FO,4142,2159436,2015
AL,FO,4349,32581,2015
AL,FO,4400,157341,2015
AL,FO,4600,3914,2015
AL,FO,5155,241718,2015
AL,FO,5354,591604,2015
AL,FO,6168,1027080,2015
AL,FO,7000,182246,2015
AL,FO,8099,120177,2015
AL,IA,8099,6543,2015
AL,IL,4142,27754,2015
AL,IL,5354,110803,2015
AL,IL,6168,34408,2015
AL,IL,8099,38319,2015
AL,IN,8099,93428,2015
AL,KY,5354,40362,2015
AL,KY,6168,7678,2015
AL,KY,8099,155229,2015
AL,LA,2100,285989,2015
AL,LA,2229,1131307,2015
AL,LA,3200,329695,2015
AL,LA,4349,4110,2015
AL,LA,4400,20642,2015
AL,LA,5155,578779,2015
AL,LA,5354,120737,2015
AL,LA,6168,501305,2015
AL,LA,8099,16353,2015
AL,MN,8099,16654,2015
AL,MO,5354,87123,2015
AL,MO,8099,8055,2015
AL,MS,2229,16188,2015
AL,MS,4349,466770,2015
AL,MS,5354,397347,2015
AL,MS,6168,6070,2015
AL,MS,8099,429281,2015
AL,OH,8099,26164,2015
AL,OK,5354,86836,2015
AL,OK,8099,36937,2015
AL,OT,7000,38005,2015
AL,OT,8099,179646,2015
AL,PA,5354,23203,2015
AL,PA,8099,6600,2015
AL,PR,8099,50035,2015
AL,TN,4349,110333,2015
AL,TN,5354,157009,2015
AL,TN,6168,79629,2015
AL,TN,8099,130404,2015
AL,TX,2100,94961,2015
AL,TX,2229,336823,2015
AL,TX,3200,141629,2015
AL,TX,5155,61781,2015
AL,TX,5354,202568,2015
AL,TX,8099,11413,2015
AL,WI,8099,9632,2015
AL,WV,8099,13968,2015
AR,AL,4400,37565,2015
AR,AL,8099,10473,2015
AR,AR,2229,60802,2015
AR,AR,4349,1927013,2015
AR,AR,8099,20733,2015
AR,IA,8099,10674,2015
AR,IL,8099,180614,2015
AR,IN,2229,21803,2015
AR,IN,8099,13604,2015
AR,KY,2229,561196,2015
AR,KY,8099,42134,2015
AR,LA,2229,43683,2015
AR,LA,4349,58410,2015
AR,LA,6168,5821205,2015
AR,LA,8099,14235,2015
AR,MN,8099,1266,2015
AR,MO,2229,77227,2015
AR,MO,4349,50635,2015
AR,MS,2229,151820,2015
AR,MS,8099,3592,2015
AR,OH,5354,5750,2015
AR,OH,8099,1514,2015
AR,OK,8099,113350,2015
AR,PA,5354,107050,2015
AR,TN,2229,159276,2015
AR,TN,8099,56588,2015
AR,TX,8099,391830,2015
AR,WI,8099,2561,2015
AR,WV,8099,13873,2015
AS,CA,8099,129258,2015
AS,PA,8099,2745,2015
AS,WA,8099,28,2015
CA,AK,8099,155440,2015
CA,CA,2229,10560690,2015
CA,CA,4142,11122,2015
CA,CA,4349,1783605,2015
CA,CA,5354,2329,2015
CA,CA,7000,99923,2015
CA,CA,8099,76097,2015
CA,CN,2229,437975,2015
CA,CN,3100,23,2015
CA,CN,3200,2590,2015
CA,CN,4349,647,2015
CA,CN,5155,29,2015
CA,CN,5354,3676,2015
CA,CN,6168,14166,2015
CA,CN,7000,5417,2015
CA,CN,8099,10576,2015
CA,FL,8099,25300,2015
CA,FO,1000,3088984,2015
CA,FO,2100,184388,2015
CA,FO,2229,13775662,2015
CA,FO,3100,38498,2015
CA,FO,3200,4762885,2015
CA,FO,4142,8203164,2015
CA,FO,4349,1053964,2015
CA,FO,4400,3414299,2015
CA,FO,4600,617009,2015
CA,FO,5155,667320,2015
CA,FO,5354,1470385,2015
CA,FO,6168,15800690,2015
CA,FO,7000,5426363,2015
CA,FO,8099,1928764,2015
CA,GU,8099,137104,2015
CA,HI,2229,56668,2015
CA,HI,3200,143661,2015
CA,HI,8099,2448475,2015
CA,LA,8099,38984,2015
CA,OR,2229,543942,2015
CA,OR,8099,60708,2015
CA,TX,8099,63650,2015
CA,WA,2229,315755,2015
CA,WA,8099,23595,2015
CN,AK,2229,360144,2015
CN,AK,3100,1104,2015
CN,AK,3200,2711,2015
CN,AK,4142,998,2015
CN,AK,4349,15736,2015
CN,AK,5155,1399,2015
CN,AK,5354,11,2015
CN,AK,6168,673,2015
CN,AK,7000,2478,2015
CN,AK,8099,14341,2015
CN,AL,2100,101641,2015
CN,AL,3200,19864,2015
CN,AL,4349,211266,2015
CN,AL,5354,14310,2015
CN,AL,7000,3438,2015
CN,AL,8099,2522,2015
CN,CA,1000,87,2015
CN,CA,2100,1231562,2015
CN,CA,2229,855498,2015
CN,CA,3200,103536,2015
CN,CA,4142,8250,2015
CN,CA,4349,2996433,2015
CN,CA,5155,804,2015
CN,CA,5354,10368,2015
CN,CA,6168,8133,2015
CN,CA,7000,19778,2015
CN,CA,8099,18249,2015
CN,CT,2229,761737,2015
CN,CT,4349,105540,2015
CN,CT,7000,1,2015
CN,CT,8099,11341,2015
CN,DE,2100,182069,2015
CN,DE,2229,113632,2015
CN,FL,1000,60,2015
CN,FL,2229,1526568,2015
CN,FL,3100,2507,2015
CN,FL,3200,22878,2015
CN,FL,4142,7991,2015
CN,FL,4349,1480342,2015
CN,FL,5155,15309,2015
CN,FL,5354,1894,2015
CN,FL,6168,100821,2015
CN,FL,7000,33607,2015
CN,FL,8099,23124,2015
CN,GA,1000,421,2015
CN,GA,2229,204326,2015
CN,GA,3100,805,2015
CN,GA,3200,1198,2015
CN,GA,4142,12466,2015
CN,GA,4349,208554,2015
CN,GA,4400,108,2015
CN,GA,4600,101,2015
CN,GA,5155,17073,2015
CN,GA,5354,6735,2015
CN,GA,6168,14009,2015
CN,GA,7000,8128,2015
CN,GA,8099,13,2015
CN,HI,1000,62122,2015
CN,HI,2100,51376,2015
CN,HI,2229,237981,2015
CN,HI,4349,206125,2015
CN,IL,4349,1476097,2015
CN,IL,4400,112113,2015
CN,IL,5354,91644,2015
CN,IL,7000,69,2015
CN,IL,8099,30223,2015
CN,IN,1000,86934,2015
CN,IN,3100,13228,2015
CN,IN,4349,359283,2015
CN,IN,4400,946379,2015
CN,IN,4600,27558,2015
CN,IN,5354,100580,2015
CN,IN,7000,292,2015
CN,IN,8099,1064,2015
CN,LA,2229,308554,2015
CN,LA,3100,96197,2015
CN,LA,3200,28934,2015
CN,LA,4400,164969,2015
CN,LA,4600,70705,2015
CN,LA,5354,11043,2015
CN,LA,6168,9915,2015
CN,LA,7000,7845,2015
CN,LA,8099,4442,2015
CN,MA,2229,3551411,2015
CN,MA,4349,218477,2015
CN,MA,5155,125390,2015
CN,MA,7000,14650,2015
CN,MA,8099,18940,2015
CN,MD,2229,373412,2015
CN,MD,3100,18139,2015
CN,MD,4349,748044,2015
CN,MD,4400,339262,2015
CN,MD,5354,11578,2015
CN,MD,6168,20,2015
CN,MD,7000,4581,2015
CN,MD,8099,24,2015
CN,ME,2100,555925,2015
CN,ME,2229,3779783,2015
CN,ME,4349,3620,2015
CN,ME,4600,133,2015
CN,ME,5155,93812,2015
CN,ME,5354,2695,2015
CN,ME,6168,339,2015
CN,ME,7000,164,2015
CN,ME,8099,13140,2015
CN,MI,1000,305886,2015
CN,MI,2229,236966,2015
CN,MI,3100,44092,2015
CN,MI,3200,9441,2015
CN,MI,4349,3138165,2015
CN,MI,4400,4983,2015
CN,MI,4600,11905,2015
CN,MI,5155,707408,2015
CN,MI,5354,147420,2015
CN,MI,7000,23940,2015
CN,MI,8099,93529,2015
CN,MN,4349,169953,2015
CN,MN,4600,7320,2015
CN,MN,5155,154307,2015
CN,MN,5354,7976,2015
CN,MS,2100,62073,2015
CN,MS,2229,72328,2015
CN,NC,2229,50581,2015
CN,NC,3100,10361,2015
CN,NC,4142,47785,2015
CN,NC,4349,59279,2015
CN,NH,2229,917665,2015
CN,NH,4349,257105,2015
CN,NJ,2100,7421564,2015
CN,NJ,2229,2799658,2015
CN,NJ,3200,4202,2015
CN,NJ,4349,445712,2015
CN,NJ,5155,451,2015
CN,NJ,5354,10,2015
CN,NJ,6168,578,2015
CN,NJ,7000,1167,2015
CN,NJ,8099,7358,2015
CN,NY,2100,77152,2015
CN,NY,2229,797348,2015
CN,NY,3100,28280,2015
CN,NY,3200,4,2015
CN,NY,4349,822425,2015
CN,NY,5155,371790,2015
CN,NY,5354,138001,2015
CN,NY,6168,39560,2015
CN,NY,7000,276,2015
CN,NY,8099,551,2015
CN,OH,3100,70883,2015
CN,OH,3200,48753,2015
CN,OH,4142,35274,2015
CN,OH,4349,2010450,2015
CN,OH,4400,1310372,2015
CN,OH,4600,33355,2015
CN,OH,5155,753839,2015
CN,OH,5354,298062,2015
CN,OH,6168,297149,2015
CN,OH,7000,1,2015
CN,OH,8099,130521,2015
CN,OR,1000,24,2015
CN,OR,2229,128961,2015
CN,OR,3100,149,2015
CN,OR,3200,616,2015
CN,OR,4142,157280,2015
CN,OR,4349,482537,2015
CN,OR,4600,86,2015
CN,OR,5155,1331,2015
CN,OR,5354,231,2015
CN,OR,6168,39305,2015
CN,OR,7000,8812,2015
CN,OR,8099,373,2015
CN,PA,2100,1373734,2015
CN,PA,2229,17579,2015
CN,PA,4349,18739,2015
CN,PR,2229,688544,2015
CN,PR,3100,198,2015
CN,PR,3200,1890,2015
CN,PR,4142,26941,2015
CN,PR,4349,865,2015
CN,PR,5155,27759,2015
CN,PR,5354,1499,2015
CN,PR,6168,217499,2015
CN,PR,7000,16879,2015
CN,PR,8099,39439,2015
CN,RI,2229,683449,2015
CN,RI,4349,25754,2015
CN,SC,2229,350886,2015
CN,SC,3200,163319,2015
CN,SC,4349,232135,2015
CN,SC,7000,10930,2015
CN,SC,8099,6620,2015
CN,TX,2100,49640,2015
CN,TX,2229,127972,2015
CN,TX,3200,229323,2015
CN,TX,6168,72976,2015
CN,TX,7000,22944,2015
CN,TX,8099,2338,2015
CN,VA,1000,205,2015
CN,VA,2229,141693,2015
CN,VA,3100,5745,2015
CN,VA,3200,79,2015
CN,VA,4349,154217,2015
CN,VA,5155,94071,2015
CN,VA,5354,163,2015
CN,VA,6168,1071,2015
CN,VA,7000,1173,2015
CN,VA,8099,62,2015
CN,VI,1000,69,2015
CN,VI,5155,301,2015
CN,VI,5354,2,2015
CN,VI,6168,927,2015
CN,VI,7000,192,2015
CN,VI,8099,48,2015
CN,WA,1000,47044,2015
CN,WA,2100,462183,2015
CN,WA,2229,537302,2015
CN,WA,3100,1690,2015
CN,WA,3200,34161,2015
CN,WA,4142,441240,2015
CN,WA,4349,1784472,2015
CN,WA,4400,577739,2015
CN,WA,4600,24392,2015
CN,WA,5155,733001,2015
CN,WA,5354,43790,2015
CN,WA,6168,17812,2015
CN,WA,7000,44042,2015
CN,WA,8099,194116,2015
CN,WI,2229,3596,2015
CN,WI,4349,1801746,2015
CN,WI,5354,7472,2015
CT,CT,2229,106606,2015
CT,CT,8099,1003836,2015
CT,FO,4400,92020,2015
CT,MA,8099,48029,2015
CT,NJ,8099,153832,2015
CT,NY,2229,23291,2015
CT,NY,8099,210562,2015
CT,RI,8099,23930,2015
CT,VA,8099,954,2015
DC,MD,8099,15,2015
DE,CN,2229,380,2015
DE,CT,2229,253408,2015
DE,DE,2229,907092,2015
DE,FL,8099,50007,2015
DE,FO,2229,1618860,2015
DE,FO,3100,626,2015
DE,FO,3200,2212,2015
DE,FO,4142,747,2015
DE,FO,4349,1076,2015
DE,FO,5155,143754,2015
DE,FO,5354,909,2015
DE,FO,6168,39630,2015
DE,FO,7000,36446,2015
DE,FO,8099,15945,2015
DE,GA,8099,15238,2015
DE,LA,8099,23684,2015
DE,MA,2229,346736,2015
DE,MD,2229,190626,2015
DE,ME,8099,49620,2015
DE,NC,2229,51625,2015
DE,NH,8099,7391,2015
DE,NJ,2100,109908,2015
DE,NJ,2229,990524,2015
DE,NJ,8099,11525,2015
DE,NY,2229,521992,2015
DE,PA,2100,62833,2015
DE,PA,8099,181646,2015
DE,RI,8099,101785,2015
DE,SC,2229,50423,2015
DE,TX,8099,4783,2015
DE,VA,2229,80179,2015
FL,AL,8099,1202190,2015
FL,AR,8099,7938,2015
FL,CN,2229,68,2015
FL,CN,3100,92573,2015
FL,CN,3200,342,2015
FL,CN,4142,54,2015
FL,CN,4349,780,2015
FL,CN,5155,1083,2015
FL,CN,5354,501,2015
FL,CN,6168,12291,2015
FL,CN,7000,18853,2015
FL,CN,8099,19763,2015
FL,FL,2229,478916,2015
FL,FL,8099,180675,2015
FL,FO,1000,560,2015
FL,FO,2229,180401,2015
FL,FO,3100,3946765,2015
FL,FO,3200,1548735,2015
FL,FO,4142,2142002,2015
FL,FO,4349,55543,2015
FL,FO,4400,437903,2015
FL,FO,4600,110734,2015
FL,FO,5155,1110515,2015
FL,FO,5354,618364,2015
FL,FO,6168,2142674,2015
FL,FO,7000,3367079,2015
FL,FO,8099,1522591,2015
FL,GA,8099,39584,2015
FL,LA,4400,48951,2015
FL,LA,8099,2939146,2015
FL,MD,8099,88463,2015
FL,NC,8099,716,2015
FL,NY,8099,502828,2015
FL,OT,8099,752,2015
FL,PA,8099,20368,2015
FL,PR,7000,1006189,2015
FL,PR,8099,1260179,2015
FL,SC,8099,68096,2015
FL,TX,8099,59004,2015
FL,VI,8099,4030,2015
FO,AK,2100,145089,2015
FO,AK,2229,1061417,2015
FO,AK,3200,8428,2015
FO,AK,4142,479,2015
FO,AK,4349,136,2015
FO,AK,5155,131654,2015
FO,AK,5354,19735,2015
FO,AK,6168,8162,2015
FO,AK,7000,42407,2015
FO,AK,8099,17013,2015
FO,AL,1000,2845352,2015
FO,AL,2100,7118126,2015
FO,AL,2229,292980,2015
FO,AL,3100,304643,2015
FO,AL,3200,370048,2015
FO,AL,4142,524180,2015
FO,AL,4349,1150149,2015
FO,AL,4400,553727,2015
FO,AL,4600,163758,2015
FO,AL,5155,133868,2015
FO,AL,5354,5111742,2015
FO,AL,6168,20387,2015
FO,AL,7000,582716,2015
FO,AL,8099,239306,2015
FO,CA,1000,3758,2015
FO,CA,2100,47177784,2015
FO,CA,2229,8191336,2015
FO,CA,3100,1068314,2015
FO,CA,3200,5049994,2015
FO,CA,4142,955312,2015
FO,CA,4349,1779283,2015
FO,CA,4400,4106,2015
FO,CA,4600,174785,2015
FO,CA,5155,5197325,2015
FO,CA,5354,9500061,2015
FO,CA,6168,10197670,2015
FO,CA,7000,35999329,2015
FO,CA,8099,2324755,2015
FO,CT,1000,336446,2015
FO,CT,2229,1099130,2015
FO,CT,3200,49201,2015
FO,CT,4142,200,2015
FO,CT,4349,707469,2015
FO,CT,5155,10183,2015
FO,CT,5354,299338,2015
FO,CT,6168,2177,2015
FO,CT,7000,14016,2015
FO,CT,8099,8363,2015
FO,DE,2100,2141465,2015
FO,DE,2229,501132,2015
FO,DE,3100,24639,2015
FO,DE,3200,74806,2015
FO,DE,4142,121,2015
FO,DE,4349,1522615,2015
FO,DE,4400,15229,2015
FO,DE,4600,37508,2015
FO,DE,5155,4666,2015
FO,DE,5354,161234,2015
FO,DE,6168,2040530,2015
FO,DE,7000,24653,2015
FO,DE,8099,73893,2015
FO,FL,1000,3372660,2015
FO,FL,2229,8400987,2015
FO,FL,3100,313644,2015
FO,FL,3200,2280130,2015
FO,FL,4142,590862,2015
FO,FL,4349,6092406,2015
FO,FL,4400,10840,2015
FO,FL,4600,169678,2015
FO,FL,5155,2469711,2015
FO,FL,5354,2202704,2015
FO,FL,6168,3859917,2015
FO,FL,7000,4334939,2015
FO,FL,8099,528538,2015
FO,GA,1000,150756,2015
FO,GA,2229,918796,2015
FO,GA,3100,248951,2015
FO,GA,3200,1312037,2015
FO,GA,4142,588503,2015
FO,GA,4349,855434,2015
FO,GA,4400,8804,2015
FO,GA,4600,76635,2015
FO,GA,5155,1046381,2015
FO,GA,5354,2060010,2015
FO,GA,6168,2273299,2015
FO,GA,7000,7957035,2015
FO,GA,8099,491610,2015
FO,HI,1000,593920,2015
FO,HI,2100,4682949,2015
FO,HI,2229,700121,2015
FO,HI,3100,790,2015
FO,HI,3200,28879,2015
FO,HI,4142,3615,2015
FO,HI,4349,16516,2015
FO,HI,4400,2,2015
FO,HI,4600,4,2015
FO,HI,5155,502587,2015
FO,HI,5354,22161,2015
FO,HI,6168,55111,2015
FO,HI,7000,95278,2015
FO,HI,8099,4434,2015
FO,IL,1000,12085,2015
FO,IL,3200,1596,2015
FO,IL,4142,22,2015
FO,IL,5155,166,2015
FO,IL,5354,193384,2015
FO,IL,6168,22683,2015
FO,IL,7000,7283,2015
FO,IL,8099,114,2015
FO,IN,3100,13841,2015
FO,IN,3200,3,2015
FO,IN,5354,435989,2015
FO,IN,6168,16855,2015
FO,IN,7000,5253,2015
FO,IN,8099,3545,2015
FO,LA,1000,96484,2015
FO,LA,2100,32502180,2015
FO,LA,2229,13175360,2015
FO,LA,3100,9424318,2015
FO,LA,3200,4742203,2015
FO,LA,4142,453615,2015
FO,LA,4349,8829052,2015
FO,LA,4400,2464638,2015
FO,LA,4600,5668215,2015
FO,LA,5155,336905,2015
FO,LA,5354,8129737,2015
FO,LA,6168,1928788,2015
FO,LA,7000,794899,2015
FO,LA,8099,568627,2015
FO,MA,1000,447380,2015
FO,MA,2229,3840376,2015
FO,MA,3100,505,2015
FO,MA,3200,105888,2015
FO,MA,4142,21205,2015
FO,MA,4349,1397373,2015
FO,MA,4400,12,2015
FO,MA,4600,2253,2015
FO,MA,5155,94652,2015
FO,MA,5354,99532,2015
FO,MA,6168,443384,2015
FO,MA,7000,444518,2015
FO,MA,8099,128831,2015
FO,MD,1000,17778,2015
FO,MD,2229,357718,2015
FO,MD,3100,300811,2015
FO,MD,3200,683008,2015
FO,MD,4142,519976,2015
FO,MD,4349,3637647,2015
FO,MD,4400,2009,2015
FO,MD,4600,380224,2015
FO,MD,5155,945561,2015
FO,MD,5354,1587035,2015
FO,MD,6168,2017018,2015
FO,MD,7000,2656039,2015
FO,MD,8099,212055,2015
FO,ME,1000,121976,2015
FO,ME,2100,2406023,2015
FO,ME,2229,612993,2015
FO,ME,3200,88330,2015
FO,ME,4142,1307,2015
FO,ME,4349,1047277,2015
FO,ME,4400,30,2015
FO,ME,5155,731,2015
FO,ME,5354,11856,2015
FO,ME,6168,46836,2015
FO,ME,7000,16797,2015
FO,ME,8099,7277,2015
FO,MI,3100,37032,2015
FO,MI,3200,385,2015
FO,MI,4349,6,2015
FO,MI,5155,45,2015
FO,MI,5354,312768,2015
FO,MI,6168,21781,2015
FO,MI,7000,6973,2015
FO,MI,8099,3305,2015
FO,MN,4349,36952,2015
FO,MN,5155,1,2015
FO,MN,5354,46856,2015
FO,MN,6168,1,2015
FO,MN,7000,63204,2015
FO,MN,8099,30712,2015
FO,MS,2100,7964914,2015
FO,MS,2229,916199,2015
FO,MS,3200,138338,2015
FO,MS,4142,1701,2015
FO,MS,4349,87839,2015
FO,MS,4400,22,2015
FO,MS,4600,431322,2015
FO,MS,5155,1688,2015
FO,MS,5354,8328,2015
FO,MS,6168,435916,2015
FO,MS,7000,150753,2015
FO,MS,8099,35060,2015
FO,NC,2229,47534,2015
FO,NC,3100,821840,2015
FO,NC,3200,902454,2015
FO,NC,4142,237205,2015
FO,NC,4349,297335,2015
FO,NC,4400,376854,2015
FO,NC,4600,62242,2015
FO,NC,5155,37925,2015
FO,NC,5354,393572,2015
FO,NC,6168,432466,2015
FO,NC,7000,607485,2015
FO,NC,8099,110373,2015
FO,NH,1000,131465,2015
FO,NH,2229,168222,2015
FO,NH,3200,9312,2015
FO,NH,4349,801353,2015
FO,NH,7000,3,2015
FO,NH,8099,20869,2015
FO,NJ,1000,2631,2015
FO,NJ,2100,13325869,2015
FO,NJ,2229,15092890,2015
FO,NJ,3100,65020,2015
FO,NJ,3200,4395452,2015
FO,NJ,4142,448544,2015
FO,NJ,4349,3021640,2015
FO,NJ,4400,12549,2015
FO,NJ,4600,50417,2015
FO,NJ,5155,3534799,2015
FO,NJ,5354,4429967,2015
FO,NJ,6168,9282021,2015
FO,NJ,7000,10158959,2015
FO,NJ,8099,1209114,2015
FO,NY,1000,44,2015
FO,NY,2100,6985,2015
FO,NY,2229,2174048,2015
FO,NY,3100,30876,2015
FO,NY,3200,435677,2015
FO,NY,4142,61367,2015
FO,NY,4349,1879396,2015
FO,NY,4400,278,2015
FO,NY,4600,14085,2015
FO,NY,5155,488574,2015
FO,NY,5354,127307,2015
FO,NY,6168,939856,2015
FO,NY,7000,692277,2015
FO,NY,8099,166821,2015
FO,OH,1000,35,2015
FO,OH,2229,19,2015
FO,OH,3100,17457,2015
FO,OH,3200,10705,2015
FO,OH,4142,440,2015
FO,OH,4349,25060,2015
FO,OH,4600,74813,2015
FO,OH,5155,340,2015
FO,OH,5354,702732,2015
FO,OH,6168,15878,2015
FO,OH,7000,20769,2015
FO,OH,8099,7855,2015
FO,OR,2229,37991,2015
FO,OR,3100,309281,2015
FO,OR,3200,108984,2015
FO,OR,4142,18063,2015
FO,OR,4349,626757,2015
FO,OR,4400,25463,2015
FO,OR,4600,113,2015
FO,OR,5155,597681,2015
FO,OR,5354,68938,2015
FO,OR,6168,13710,2015
FO,OR,7000,381388,2015
